split,rank,DECLARACION,series,pct_split,cum_pct
evaluacion,29,118-2026-10-016934-00,2,0.1893939393939394,96.40151515151516
evaluacion,30,118-2026-10-000136-00,1,0.0946969696969697,96.49621212121212
evaluacion,31,118-2026-10-001133-00,1,0.0946969696969697,96.5909090909091
evaluacion,32,118-2026-10-001566-00,1,0.0946969696969697,96.68560606060606
evaluacion,33,118-2026-10-020425-00,1,0.0946969696969697,96.78030303030303
evaluacion,34,118-2026-10-019925-00,1,0.0946969696969697,96.875
evaluacion,35,118-2026-10-019989-00,1,0.0946969696969697,96.96969696969697
evaluacion,36,118-2026-10-042754-00,1,0.0946969696969697,97.06439393939394
evaluacion,37,118-2026-10-042140-00,1,0.0946969696969697,97.1590909090909
evaluacion,38,118-2026-10-033870-00,1,0.0946969696969697,97.25378787878788
evaluacion,39,118-2026-10-031666-00,1,0.0946969696969697,97.34848484848484
evaluacion,40,118-2026-10-028002-00,1,0.0946969696969697,97.44318181818183
evaluacion,41,118-2026-10-028016-00,1,0.0946969696969697,97.53787878787878
evaluacion,42,118-2026-10-029955-00,1,0.0946969696969697,97.63257575757575
evaluacion,43,118-2026-10-001787-00,1,0.0946969696969697,97.72727272727273
evaluacion,44,118-2026-10-010823-00,1,0.0946969696969697,97.8219696969697
evaluacion,45,118-2026-10-009478-00,1,0.0946969696969697,97.91666666666666
evaluacion,46,118-2026-10-019265-00,1,0.0946969696969697,98.01136363636364
evaluacion,47,118-2026-10-017759-00,1,0.0946969696969697,98.10606060606061
evaluacion,48,118-2026-10-019844-00,1,0.0946969696969697,98.20075757575758
evaluacion,49,118-2026-10-052270-00,1,0.0946969696969697,98.29545454545455
evaluacion,50,118-2026-10-052357-00,1,0.0946969696969697,98.39015151515152
evaluacion,51,118-2026-10-052329-00,1,0.0946969696969697,98.48484848484848
evaluacion,52,118-2026-10-077064-00,1,0.0946969696969697,98.57954545454545
evaluacion,53,118-2026-10-076761-00,1,0.0946969696969697,98.67424242424242
evaluacion,54,118-2026-10-072568-00,1,0.0946969696969697,98.76893939393939
evaluacion,55,118-2026-10-070945-00,1,0.0946969696969697,98.86363636363636
evaluacion,56,118-2026-10-069662-00,1,0.0946969696969697,98.95833333333334
evaluacion,57,118-2026-10-064541-00,1,0.0946969696969697,99.0530303030303
evaluacion,58,118-2026-10-064520-00,1,0.0946969696969697,99.14772727272727
evaluacion,59,118-2026-10-054732-00,1,0.0946969696969697,99.24242424242425
evaluacion,60,118-2026-10-053436-00,1,0.0946969696969697,99.33712121212122
evaluacion,61,118-2026-10-108366-00,1,0.0946969696969697,99.43181818181817
evaluacion,62,118-2026-10-092277-00,1,0.0946969696969697,99.52651515151516
evaluacion,63,118-2026-10-105380-00,1,0.0946969696969697,99.62121212121212
evaluacion,64,118-2026-10-080008-00,1,0.0946969696969697,99.7159090909091
evaluacion,65,118-2026-10-087957-00,1,0.0946969696969697,99.81060606060606
evaluacion,66,118-2026-10-077797-00,1,0.0946969696969697,99.90530303030303
