pool_id,classification,case_id,nandina_ref,depth,effective_size,duplicates_discarded,exact_at_depth,hs6_at_depth,hs4_at_depth,chapter_at_depth
hierarchical_only,candidate_pool,DA-EVAL-V02-00112,87032290,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00113,87032290,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00114,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00115,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00116,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00117,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00118,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00119,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00120,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00121,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00122,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00123,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00124,87082910,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00125,87081000,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00126,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00127,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00128,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00129,87089919,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00130,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00131,87089100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00132,87085011,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00133,87088020,50,50,0,1,1,1,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00134,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00135,87089999,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00136,87082990,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00137,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00138,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00139,87083029,50,50,0,0,0,0,1
