occurrence_id,source_artifact,source_locator,source_type,phase,target_artifact,legacy_expected_sha256,canonical_git_lf_sha256,crlf_reconstructed_sha256,legacy_matches_crlf,legacy_matches_lf,classification,contract_lifecycle,migration_action,notes
OCC-021,outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_provenance_registry_v0.2.csv,row:6/column:sha256/occurrence:1,CSV,EXP-04 / GROUP 1,outputs/audits/data_aduanas_splits_clase87_v0.2/audit_summary_v0.2.json,79097fcc162cca8690f9382b5e529cfbd8d714575ad7fb96fc044eca2343d027,9c2ee54c1e8c04c004e09ab5c5c0b4d02f326dcf9a308723edbd6eef1aa1f770,79097fcc162cca8690f9382b5e529cfbd8d714575ad7fb96fc044eca2343d027,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,ACTIVE_CANONICAL_CONTRACT,CANONICALIZE_ACTIVE_SOURCE_AT_LOCATOR,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-022,outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_provenance_registry_v0.2.csv,row:7/column:sha256/occurrence:1,CSV,EXP-04 / GROUP 1,outputs/audits/data_aduanas_splits_clase87_v0.2/concentration_summary_v0.2.json,0e8fce3a290f78f745bf1859b6bb10448e54b9d93bb4fcef93a047fde04be246,b9a2200a9e5c95218a138d8ca391134585baaf394dfa86a32ec2d459f8d36e2b,0e8fce3a290f78f745bf1859b6bb10448e54b9d93bb4fcef93a047fde04be246,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,ACTIVE_CANONICAL_CONTRACT,CANONICALIZE_ACTIVE_SOURCE_AT_LOCATOR,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-023,outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_provenance_registry_v0.2.csv,row:20/column:sha256/occurrence:1,CSV,EXP-04 / GROUP 1,outputs/evaluation/he5_integrated_error_analysis_v0.2/gate_l_corrective_microclose_manifest_v0.2.json,8944de61d50dfeb3cb547bd4ee1c48bf15b471d9605e1c071803f5260b7bbd2c,b4063a122460dfce555ad51dfe70e2c90a4f9791c4959d1bdcfb2d58ab75a59b,8944de61d50dfeb3cb547bd4ee1c48bf15b471d9605e1c071803f5260b7bbd2c,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,ACTIVE_CANONICAL_CONTRACT,CANONICALIZE_ACTIVE_SOURCE_AT_LOCATOR,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-024,outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_provenance_registry_v0.2.csv,row:21/column:sha256/occurrence:1,CSV,EXP-04 / GROUP 1,outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,929ba1f34699cf511a28913543098f09db84d8b8a3a284b91993be78db0c72b4,db5dba9c56ad3cd1dd9ccccb9bacea0d8ed2e4b358f8f90f39d99e34993c4b1c,929ba1f34699cf511a28913543098f09db84d8b8a3a284b91993be78db0c72b4,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,ACTIVE_CANONICAL_CONTRACT,CANONICALIZE_ACTIVE_SOURCE_AT_LOCATOR,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-025,outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_provenance_registry_v0.2.csv,row:22/column:sha256/occurrence:1,CSV,EXP-04 / GROUP 1,outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,5bc0b186628e71ec3651de3f7956a489e2db0ccbd535e434696fb0f49aafc1dd,998a6ace66354323d7a32ef9c5563b7fb6ea4a20f4bb6c91f154f7a0eb246e74,5bc0b186628e71ec3651de3f7956a489e2db0ccbd535e434696fb0f49aafc1dd,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,ACTIVE_CANONICAL_CONTRACT,CANONICALIZE_ACTIVE_SOURCE_AT_LOCATOR,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-026,outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_provenance_registry_v0.2.csv,row:23/column:sha256/occurrence:1,CSV,EXP-04 / GROUP 1,outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/gate_exp08_corrective_microclose_manifest_v0.2.json,8ffeb632e5ef58ebf7523b38fc0815aa124509f5982641a76cc9cf8b570ee2c7,99a4ea28ba820e648fed7d64768bf3a50ef7bccd8405ca045de864218001c986,8ffeb632e5ef58ebf7523b38fc0815aa124509f5982641a76cc9cf8b570ee2c7,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,ACTIVE_CANONICAL_CONTRACT,CANONICALIZE_ACTIVE_SOURCE_AT_LOCATOR,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-027,outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_results_registry_v0.2.csv,row:24/column:artifact_sha256/occurrence:1,CSV,EXP-04 / GROUP 1,outputs/evaluation/he5_integrated_error_analysis_v0.2/gate_l_corrective_microclose_manifest_v0.2.json,8944de61d50dfeb3cb547bd4ee1c48bf15b471d9605e1c071803f5260b7bbd2c,b4063a122460dfce555ad51dfe70e2c90a4f9791c4959d1bdcfb2d58ab75a59b,8944de61d50dfeb3cb547bd4ee1c48bf15b471d9605e1c071803f5260b7bbd2c,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-028,outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_results_registry_v0.2.csv,row:25/column:artifact_sha256/occurrence:1,CSV,EXP-04 / GROUP 1,outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/gate_exp08_corrective_microclose_manifest_v0.2.json,8ffeb632e5ef58ebf7523b38fc0815aa124509f5982641a76cc9cf8b570ee2c7,99a4ea28ba820e648fed7d64768bf3a50ef7bccd8405ca045de864218001c986,8ffeb632e5ef58ebf7523b38fc0815aa124509f5982641a76cc9cf8b570ee2c7,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,HISTORICAL_LEGACY_CONTRACT,PRESERVE_HISTORICAL_LEGACY_AND_MAP,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-029,outputs/evaluation/exp04_consolidated_closure_v0.2/gate_exp04_consolidated_closure_manifest_v0.2.json,/inputs/3/sha256,JSON,EXP-04 / GROUP 1,outputs/audits/data_aduanas_splits_clase87_v0.2/audit_summary_v0.2.json,79097fcc162cca8690f9382b5e529cfbd8d714575ad7fb96fc044eca2343d027,9c2ee54c1e8c04c004e09ab5c5c0b4d02f326dcf9a308723edbd6eef1aa1f770,79097fcc162cca8690f9382b5e529cfbd8d714575ad7fb96fc044eca2343d027,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,ACTIVE_CANONICAL_CONTRACT,CANONICALIZE_ACTIVE_SOURCE_AT_LOCATOR,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
OCC-030,outputs/evaluation/exp04_consolidated_closure_v0.2/gate_exp04_consolidated_closure_manifest_v0.2.json,/inputs/4/sha256,JSON,EXP-04 / GROUP 1,outputs/audits/data_aduanas_splits_clase87_v0.2/audit_summary_v0.2.json,79097fcc162cca8690f9382b5e529cfbd8d714575ad7fb96fc044eca2343d027,9c2ee54c1e8c04c004e09ab5c5c0b4d02f326dcf9a308723edbd6eef1aa1f770,79097fcc162cca8690f9382b5e529cfbd8d714575ad7fb96fc044eca2343d027,true,false,EXPECTED_MATCHES_LEGACY_CRLF_REPRESENTATION,ACTIVE_CANONICAL_CONTRACT,CANONICALIZE_ACTIVE_SOURCE_AT_LOCATOR,SHA-256 calculated from Git content bytes; CRLF value reconstructed in memory.
