reference_nandina,presence_status,n_v01,top1_n_v01,top1_v01,top3_n_v01,top3_v01,mrr_v01,n_v02,top1_n_v02,top1_v02,top3_n_v02,top3_v02,mrr_v02,delta_top1_v02_minus_v01,delta_top3_v02_minus_v01,delta_mrr_v02_minus_v01
87083025,CODE_IN_BOTH_EVALSETS,11,10,0.9090909090909091,10,0.9090909090909091,0.9120234604105573,1,0,0.0,0,0.0,0.03571428571428571,-0.9090909090909091,-0.9090909090909091,-0.8763091746962716
87083029,CODE_IN_BOTH_EVALSETS,47,41,0.8723404255319149,43,0.9148936170212766,0.9106382978723404,32,5,0.15625,18,0.5625,0.3781967164779665,-0.7160904255319149,-0.3523936170212766,-0.5324415813943739
87084010,CODE_IN_BOTH_EVALSETS,3,1,0.3333333333333333,3,1.0,0.5555555555555555,2,2,1.0,2,1.0,1.0,0.6666666666666667,0.0,0.44444444444444453
87084090,CODE_IN_BOTH_EVALSETS,19,15,0.7894736842105263,18,0.9473684210526315,0.8671679197994987,9,3,0.3333333333333333,6,0.6666666666666666,0.5425925925925926,-0.456140350877193,-0.2807017543859649,-0.3245753272069061
87085011,CODE_IN_BOTH_EVALSETS,6,5,0.8333333333333334,5,0.8333333333333334,0.8666666666666667,17,12,0.7058823529411765,16,0.9411764705882353,0.8263305322128851,-0.12745098039215685,0.10784313725490191,-0.04033613445378159
87085019,CODE_IN_BOTH_EVALSETS,4,3,0.75,3,0.75,0.7625,4,0,0.0,0,0.0,0.045925925925925926,-0.75,-0.75,-0.716574074074074
87085021,ONLY_V01,1,0,0.0,0,0.0,0.14285714285714285,0,0,,0,,,,,
87087010,CODE_IN_BOTH_EVALSETS,15,13,0.8666666666666667,14,0.9333333333333333,0.9,17,4,0.23529411764705882,12,0.7058823529411765,0.48974396776254364,-0.6313725490196078,-0.22745098039215683,-0.4102560322374564
87087020,CODE_IN_BOTH_EVALSETS,7,6,0.8571428571428571,6,0.8571428571428571,0.868131868131868,14,2,0.14285714285714285,2,0.14285714285714285,0.2400793650793651,-0.7142857142857142,-0.7142857142857142,-0.6280525030525029
87088010,ONLY_V01,2,2,1.0,2,1.0,1.0,0,0,,0,,,,,
87088020,CODE_IN_BOTH_EVALSETS,49,44,0.8979591836734694,46,0.9387755102040817,0.9260535382984363,25,12,0.48,17,0.68,0.6035820105820107,-0.4179591836734694,-0.2587755102040816,-0.3224715277164256
