case_id,id_unico,DAM,SERIE,reference_nandina,support_count_series,support_count_dams,support_bucket_dams,historical_reference_rank,historical_top1_correct,historical_top3_correct,historical_top5_correct,historical_top10_correct,historical_top50_recovered,historical_mrr_contribution,historical_top1_code,historical_candidate_count_effective,historical_error_hierarchy,exact_normalized_description_in_history,exact_duplicate_same_label,exact_duplicate_different_label,near_duplicate_similarity,near_ge_095,flat_exact_rank,flat_top1,flat_top3,flat_top5,flat_top10,flat_top50,flat_recall100,flat_recall200,hierarchical_exact_rank,hierarchical_top1,hierarchical_top3,hierarchical_top5,hierarchical_top10,hierarchical_top50,hierarchical_recall100,hierarchical_recall200,dense_exact_rank,dense_top1,dense_top3,dense_top5,dense_top10,dense_top50,dense_recall100,dense_recall200,hierarchical_pool_contains_reference_100,hierarchical_pool_contains_reference_200,dual_pool_contains_reference_100,dual_pool_contains_reference_200,pool_70_30_contains_reference_100,pool_70_30_contains_reference_200,integration_top3_available,exact_normative_evidence_all_top3,historical_precedent_all_top3,traceability_complete,reranker_evaluated,reranker_reference_in_pool,reranker_before_rank,reranker_after_rank,reranker_outcome,he4_evaluated,he4_selection_bucket,he4_automatic_available,he4_qualitative_available,he4_candidate_set_exact,he4_top3_order_preserved,he4_historical_reference_valid,he4_normative_reference_valid,he4_generic_normative_warning_pass,he4_traceability_complete,he4_total_score,he4_auditable,he4_trazabilidad,he4_verificabilidad,he4_separacion_historico_normativo,he4_prudencia,he4_consistencia_top3,he4_deteccion_normativa_generica,he4_comparacion,he4_utilidad_auditoria,he4_hard_violation,error_types,error_count
DA-EVAL-V02-00021,118-2026-10-004975-00-224,MARITIMA DEL CALLAO 118,224,87089999,321,13,5+ DAM,6,0,0,0,1,1,0.16666666666666666,87089400,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,92,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,6
DA-EVAL-V02-00022,118-2026-10-004975-00-230,MARITIMA DEL CALLAO 118,230,87089400,33,11,5+ DAM,1,1,1,1,1,1,1.0,87089400,61,EXACT_NANDINA8,False,False,False,0.0,False,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,DENSE_MISS,1
DA-EVAL-V02-00023,118-2026-10-004975-00-242,MARITIMA DEL CALLAO 118,242,87089939,18,5,5+ DAM,7,0,0,0,1,1,0.14285714285714285,87089400,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,7
DA-EVAL-V02-00024,118-2026-10-004975-00-243,MARITIMA DEL CALLAO 118,243,87088020,170,8,5+ DAM,1,1,1,1,1,1,1.0,87088020,61,EXACT_NANDINA8,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS,4
DA-EVAL-V02-00025,118-2026-10-004975-00-27,MARITIMA DEL CALLAO 118,27,87089999,321,13,5+ DAM,7,0,0,0,1,1,0.14285714285714285,87082990,64,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,6
DA-EVAL-V02-00026,118-2026-10-004975-00-28,MARITIMA DEL CALLAO 118,28,87089100,51,5,5+ DAM,1,1,1,1,1,1,1.0,87089100,65,EXACT_NANDINA8,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS,4
DA-EVAL-V02-00027,118-2026-10-004975-00-29,MARITIMA DEL CALLAO 118,29,87089999,321,13,5+ DAM,6,0,0,0,1,1,0.16666666666666666,87082990,64,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,6
DA-EVAL-V02-00028,118-2026-10-004975-00-30,MARITIMA DEL CALLAO 118,30,87082990,184,10,5+ DAM,4,0,0,1,1,1,0.25,87083022,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,7
DA-EVAL-V02-00029,118-2026-10-004975-00-31,MARITIMA DEL CALLAO 118,31,87089999,321,13,5+ DAM,3,0,1,1,1,1,0.3333333333333333,87082990,64,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,92,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,5
DA-EVAL-V02-00030,118-2026-10-004975-00-312,MARITIMA DEL CALLAO 118,312,87089999,321,13,5+ DAM,16,0,0,0,0,1,0.0625,87089100,66,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|HISTORICAL_TOP3_MISS|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,6
DA-EVAL-V02-00031,118-2026-10-004975-00-314,MARITIMA DEL CALLAO 118,314,87089999,321,13,5+ DAM,2,0,1,1,1,1,0.5,87083022,65,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,5
DA-EVAL-V02-00032,118-2026-10-004975-00-315,MARITIMA DEL CALLAO 118,315,87089999,321,13,5+ DAM,3,0,1,1,1,1,0.3333333333333333,87083022,65,SAME_HS4,False,False,False,0.0,False,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,,,,NOT_EVALUATED,0,,0,0,,,,,,,,,,,,,,,,,,HISTORICAL_TOP1_ERROR|NORMATIVE_EARLY_RANK_MISS|NORMATIVE_NOT_RECOVERED|DENSE_MISS|POOL_REFERENCE_MISS|HIERARCHICAL_SAME_HS4_ERROR,6
