row_key,arm,comparison,original_numerator,original_value,corrected_numerator,corrected_value,absolute_delta,denominator,frozen aggregate characterization,source version
D1a-Top@50,D1a,Top@50,323,0.3058712121212121,331,0.3134469696969697,0.0075757575757576245,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-Recall@100,D1a,Recall@100,365,0.3456439393939394,365,0.3456439393939394,0.0,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-Recall@200,D1a,Recall@200,383,0.3626893939393939,384,0.36363636363636365,0.0009469696969697239,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-MRR@100,D1a,MRR@100,34.240088668205736,0.03242432639034634,40.22001955684377,0.038087139731859634,0.0056628133415132925,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-MRR@200,D1a,MRR@200,34.37125272378151,0.03254853477630825,40.35734344838877,0.038217181295822696,0.005668646519514445,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-Exact@100,D1a,Exact@100,365,0.3456439393939394,365,0.3456439393939394,0.0,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-Exact@200,D1a,Exact@200,383,0.3626893939393939,384,0.36363636363636365,0.0009469696969697239,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-HS6@100,D1a,HS6@100,386,0.36553030303030304,386,0.36553030303030304,0.0,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-HS6@200,D1a,HS6@200,410,0.38825757575757575,410,0.38825757575757575,0.0,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-HS4@100,D1a,HS4@100,922,0.8731060606060606,929,0.8797348484848485,0.006628787878787956,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-HS4@200,D1a,HS4@200,1018,0.9640151515151515,1017,0.9630681818181818,-0.0009469696969697239,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-Chapter@100,D1a,Chapter@100,1035,0.9801136363636364,1035,0.9801136363636364,0.0,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
D1a-Chapter@200,D1a,Chapter@200,1056,1.0,1056,1.0,0.0,1056,POSITIVE_NONZERO_EXACT_RANKING_CHANGE_WITH_MINOR_HS4_MIXED_EFFECT,6a26777395630722a18bca7826b7df96613ea4ea
